social,giornale,titolo,commento,topic,sentiment,hate_speech
Facebook,La Repubblica,Alluvioni Emilia Romagna,"Ok l'alluvione, ma la gestione del traffico è imbarazzante, solo in Italia certi disagi, tra lavori stradali iniziati e mai portati a termine, bastano un metro e mezzo d'acqua per mandare in tilt tutto il sistema.",CROANCA,negativo,no
Facebook,La Repubblica,Alluvioni Emilia Romagna,"Andrea Nicodemi ciao Andrea. Capisco che La Repubblica non possa nemmeno prendere in considerazione che la gestione del territorio in ER faccia acqua da tutte le parti, visto che a gestirla fino a l’altro ieri c’era l’attuale segretario del PD e, figuriamoci, se si osa muovere una critica ai “compagni”…. Tuttavia, non mi sento di smentire la tesi del meteorologo: è sotto gli occhi di tutti che fenomeni metereologici sempre più estremi interessino l’Europa è il Mediterraneo. Il clima è cambiato e sta tuttora cambiando, forse non per le cause tanto propagandate, ma certamente non possiamo negare il cambiamento in atto. Senz’altro, e forse proprio a causa di questi cambiamenti, le attenzioni e gli interventi a favore del territorio in Regione e in Italia dovrebbero essere una priorità. Su questo bisogna interrogarsi e coinvolgere le persone competenti, non gli amici di partito.",CROANCA,negativo,no
Facebook,La Repubblica,Alluvioni Emilia Romagna,"Ora parlano tutti di emergenza climatica xché ormai ogni cosa in Italia funziona così,emergenze su emergenza, nessuno che si prende responsabilità su quello che andava fatto x prevenire e non é stato fatto ma i soldi x le armi e la guerra si trovano sempre xché é vitale x l'europa e la nostra libertà.Ridicolo,imbarazzante  ,tragico.Intanto con aerei ogni giorno si rigano cieli con scie e si oscura il sole ,si chiama bioingegneria x modificare il clima,usata da decenni prima solo x scopi militari ma certamente questo é complottismo.",CROANCA,negativo,no
Facebook,La Repubblica,Alluvioni Emilia Romagna,"Quindi il cambiamento climatico non c'entra un c**** giusto? Anni di mala gestione del territorio, le stesse alluvioni di 50-60 anni fa. Come la mettiamo dopo  anni di articoli fasulli?",CROANCA,negativo,inappropriato
Facebook,La Repubblica,Alluvioni Emilia Romagna,Per favore un po' di serietà.Una volta era un quotidiano serio,CROANCA,negativo,no
Facebook,La Repubblica,Alluvioni Emilia Romagna,"I media TV-quotidiani parlano H24 sulla tragica fatalità Emilia Romagna, ma state tranquilli che tra una settimana media-TV-quotidiani-politica- Vaticano e Governo non ne parleranno più e saranno CAZZI di chi non ha più nulla! Questo è il nostro Paese da sempre! Clamore per al massimo una due settimane e poi CHE SI ARRANGINO! ",CROANCA,negativo,inappropriato
Facebook,La Repubblica,Alluvioni Emilia Romagna,"Crisi climatica un corno, decenni di malagestione!
 È  mancata e manca la Cultura della prevenzione!",CROANCA,negativo,no
Facebook,La Repubblica,Alluvioni Emilia Romagna,Chi ha tolto Italia sicura del governo Renzi? Lo chiedo per Renzo Piano.,CROANCA,negativo,no
Facebook,La Repubblica,Alluvioni Emilia Romagna,"Chiedete a bonaccini che ha restituito 52 milioni di euro, anziché avviare lavori di messa in sicurezza degli argini dei fiumi???",CROANCA,negativo,no
Facebook,La Repubblica,Alluvioni Emilia Romagna,...anche la stupidità della propaganda climatica gretina non si vedeva da decenni...,CROANCA,negativo,offensivo
Facebook,La Repubblica,Alluvioni Emilia Romagna,"Quindi i danni sono colpa delle cacche delle mucche e delle emissioni della Panda euro 0 e non di chi, invece di tutelare il territorio da priorità alle piste ciclabili e alla propaganda gender",CROANCA,negativo,no
Facebook,La Repubblica,Alluvioni Emilia Romagna,Chissà se si  poteva allertare in tempo la popolazione,CROANCA,negativo,no
Facebook,La Repubblica,Alluvioni Emilia Romagna,"ricordiamoci che la regione è stata amministrata dalla Slein, il territorio deve essere gestito con capacità",CROANCA,negativo,no
Facebook,La Repubblica,Alluvioni Emilia Romagna,La colpa anche di chi non pulisce più i fiumi  questi 4 scemi di ambientalisti del cazzo,CROANCA,negativo,offensivo
Facebook,La Repubblica,Alluvioni Emilia Romagna,"Apocalipse, 11

15 O sétimo anjo tocou a trombeta. Ressoaram então no céu altas vozes que diziam: “O império de nosso Senhor e de seu Cristo estabeleceu-se sobre o mundo, e ele reinará pelos séculos dos séculos”.
16 Os vinte e quatro Anciãos, que se assentam nos seus tronos diante de Deus, prostraram-se de rosto em terra e adoraram a Deus,
17 dizendo: “Graças te damos, Se­nhor, Deus Dominador, que és e que eras, porque assumiste a plenitude de teu poder real.
18 Irritaram-se os pagãos, mas eis que sobreveio a tua ira e o tempo de julgar os mortos, de dar a recompensa aos teus servos, aos profetas, aos santos, aos que temem o teu nome, pequenos e grandes, e de exterminar os que corromperam a terra”.
19 Abriu-se o Templo de Deus no céu e apareceu, no seu templo, a arca do seu testamento. Houve relâmpagos, vozes, trovões, terremotos e forte saraiva. Apocalipse 11: 15-19. APOCALIPSE DESDE 2000 COMO PREVISTO.",CROANCA,negativo,no
Facebook,La Repubblica,Alluvioni Emilia Romagna,Fabrizio Majerna parliamo del suo profilo fb falso come le sue affermazioni,CROANCA,negativo,no
Facebook,La Repubblica,Alluvioni Emilia Romagna,L IMPORTANTE è AIUTARE KIEV MANDANDO MILIARDI NON MILIONI ............TUTTI SOLDI BUTTATI ..............MA STAVOLTA VINCEREMO SICURO---- NON COME BONAPARTE E LO ZIO BAFFETTO ------NON CI SOONO SOLDI PER PULIRE I CANALI E ALTRE COSE ...............PEGGIO PER NOI ............ALTRO GIORNO CON UNA SOLA ESPLOSIONE KIEV HA PERSO UN DEPOSITO DI ARMI PER 500 MILIONI DI DOLLARI ...................MA VERAMENTE ROBE SPAZIALI BRUCIARE I SOLDI COSì NEL 2023---PER 3 GIORNI DI PIOVA UN CASINO PENSA TI SE ERANO 3 GIORNI DI MISSILI IPERSONICI  KINZHAL  .............,CROANCA,negativo,no
Facebook,La Repubblica,Alluvioni Emilia Romagna,"  Per chi raglia parlando di piogge intense, di fenomeni intensi mai accaduti e non prevedili.",CROANCA,negativo,no
Facebook,La Repubblica,Alluvioni Emilia Romagna,"In lingua italiana, crisi del clima non significa un caxx.",CROANCA,negativo,inappropriato
Facebook,La Repubblica,Alluvioni Emilia Romagna,"Sempre facile trovare un nemico invisibile da dare in pasto all’opinione pubblica. Giornalai di merda, fare schifo, dovete fallire e sulle vostre macerie dovranno spargere sale.",CROANCA,negativo,violento
Facebook,La Repubblica,Alluvioni Emilia Romagna,"Magari,il Focus dovrebbe andare sugli amministratori locali e nazionali che non hanno fatto prevenzione del dissesto idrogeologico sul territorio, negli ultimi trent'anni. Non date la colpa al meteo o a Dio.. i responsabili hanno nomi e cognomi. Di tutti i partiti politici",CROANCA,negativo,no
Facebook,La Repubblica,Alluvioni Emilia Romagna,"I cosiddetti complottisti avevano previsto tutto. Forse sarà il caso, d'ora in poi, di chiamarli profeti e smetterla di deriderli.",CROANCA,negativo,no
Facebook,La Repubblica,Alluvioni Emilia Romagna,il vicepresidente della regione con delega alla prevenzione non era il capo del PD?,CROANCA,negativo,no
Facebook,La Repubblica,Alluvioni Emilia Romagna,Nemesi,CROANCA,positivo,no
Facebook,La Repubblica,Alluvioni Emilia Romagna,lmy.de/QwYUSzXe,CROANCA,positivo,no
Facebook,FanPage,Strage di Cutro,"Mentre proseguono le ricerche dei dispersi, e calano di minuto in minuto le possibilità di trovare ancora dei naufraghi vivi, proseguono le indagini dei carabinieri e salgono a tre i presunti scafisti individuati e sospettati di favoreggiamento dell'immigrazione clandestina. Si tratta di uomini che secondo gli inquirenti sarebbero stati al timone del caicco che si è spezzato su una secca davanti alle coste di Steccato. Nessuno dei presunti trafficanti è stato al momento sottoposto a fermo.",CRONACA NERA,negativo,no
Facebook,FanPage,Strage di Cutro,Si devono evitare queste stragi e quindi evitare che partono dal loro paese ,CRONACA NERA,negativo,no
Facebook,FanPage,Strage di Cutro,"Cavolo ma , loro si so salvati ?? Al contrario di quei poveri bimbi . ",CRONACA NERA,negativo,no
Facebook,FanPage,Strage di Cutro,"Vanno protetti nei loro territori. l'Europa se ne frega di tutti. L'Italia NON HA le risorse per accogliere tutti i migranti. Francia, Germania, Spagna se ne lavano le mani. Gli scafisti si appoggiano alla sicurezza che verranno salvati dalle ong e dalla CP dei paesi intervenuti. Se davvero vogliamo mettere un punto va smembrata l'organizzazione di scafisti e aiutati a casa loro.",CRONACA NERA,negativo,offensivo
Facebook,FanPage,Strage di Cutro,"Una distesa di lenzuola bianche, 
il colore della pace, 
della libertà,
di un nuovo inizio,
questo doveva essere... 
Non un cimitero a cielo aperto ",CRONACA NERA,positivo,no
Facebook,FanPage,Strage di Cutro,Bisogna mettere le navi ai confini e non fare passare più  nessuno,CRONACA NERA,negativo,no
Facebook,FanPage,Strage di Cutro,"Una grandisina tristeza,parece mentira ,no es la primera vez,que pasa y se habla por dos o tres dias,y siguen llegando jente,eso es peor que la guerra,pero mas de uno se forran de dinero,y los politicos miran para el otro lado,esas jentes hay que ayudarles en su propio pais,!!Que poco valemos!!",CRONACA NERA,negativo,no
Facebook,FanPage,Strage di Cutro,"Il problema è a monte.
Povera gente.
Ps ...ma gli scafisti si salvano sempre?!!",CRONACA NERA,negativo,no
Facebook,FanPage,Strage di Cutro,"Mammamia, povera gente, noi stiamo guardando dalle nostre case calde, dai ns divano queste stragi....",CRONACA NERA,negativo,no
Facebook,FanPage,Strage di Cutro,Ebasta non è possibile queste stragi la colpa è di gente che vuole sottomettere i popoli e l unico modo è la fuga basta basta basta,CRONACA NERA,negativo,no
Facebook,FanPage,Strage di Cutro,"Condivido quanto detto da funzionario di polizia Orlando Amodeo, Il barcone L'avevano avvistato a 40 miglia dalla costa e non hanno fatto l'assistenza più adeguata, per quelle condizioni meteo, una grossa nave non può accostare il barcone ma un gommone della C. P. si. Hanno abbandonato la nave carica di disperati al loro destino, schiantarsi sugli scogli, non l'hanno neanche guidata verso un porto e adesso lacrime di coccodrillo.",CRONACA NERA,negativo,no
Facebook,FanPage,Strage di Cutro,Ma dovete andare a prendere chi li mette sulla barca e prende i soldi...muoiono i neonati... Oltre agli uomini e alle donne... È mostruoso...,CRONACA NERA,negativo,no
Facebook,FanPage,Strage di Cutro,parole inutili....la gente continua a morire e nessuno fa niente....,CRONACA NERA,negativo,no
Facebook,FanPage,Strage di Cutro,Fermarli nelle spiagge di parterza  i mercanti di carne umana con tutti i mezzi. Affondando le carrette di mare per non farli salpare. Cosi si evita quesye stragi.,CRONACA NERA,negativo,no
Facebook,FanPage,Strage di Cutro,"Vorrei vedere cosa farebbero gli scafisti se chiudessimo le frontiere come fa il resto d'Europa! Il pesce puzza dalla testa si dice e qui bisogna aiutarli a casa loro per impedire le partenze! l'Italia non è più in grado di accogliere, e farli stare in 2000 in un centro che accoglie max 400 persone è disumano! C'è povertà in Italia e che futuro hanno qui da noi? Bisogna intervenire nei loro paesi e fermare le partenze dall'imbarco!",CRONACA NERA,negativo,no
Facebook,FanPage,Strage di Cutro,Terribile! Povera gente ,CRONACA NERA,negativo,no
Facebook,FanPage,Strage di Cutro,"nn ci sn parole
.povera gente.",CRONACA NERA,negativo,no
Facebook,FanPage,Strage di Cutro,Il governo esulta per I primi risultati raggiunti,CRONACA NERA,positivo,no
Facebook,FanPage,Strage di Cutro,Che strazio!!,CRONACA NERA,negativo,no
Facebook,FanPage,Strage di Cutro,I viaggi della speranza versus i viaggi di piacere delle ricche signore bolognesi,CRONACA NERA,negativo,no
Facebook,FanPage,Strage di Cutro,"In galera a vita senza sconti ,mostri maledetti ,povera gente .",CRONACA NERA,negativo,offensivo
Facebook,FanPage,Strage di Cutro,"Ringrazino le sirene di ama immigrati e ONG. La risposta di Francia e Germania, Olanda, Svezia  sugli sbarchi non lascia dubbi: Non li vogliono. Noi abbiamo dato fin troppo. Quindi inutile insistere perché questo succede.",CRONACA NERA,negativo,no
Facebook,FanPage,Strage di Cutro,Ma le coste della Grecia nn li hanno visti? ...o anno chiuso gli occhi....,CRONACA NERA,negativo,no
Facebook,FanPage,Strage di Cutro,Tra qualche giorno gli scafisti saranno disponibili per un altro viaggio,CRONACA NERA,negativo,no
Facebook,FanPage,Strage di Cutro,"Da Bruxelles nemmeno una parola, se ne fottono. Speriamo diano l’ergastolo allo scafista.",CRONACA NERA,negativo,violento
Facebook,FanPage,Strage di Cutro,"Lo scafista non c'entra nulla con l'organizzazione, è solo un povero cristo che pur di non pagare si prende la briga di pilotare...",CRONACA NERA,negativo,no
Facebook,FanPage,Strage di Cutro,"Come possibile che un barcone con 200 persone a bordo, parta dalla Turchia e arrivi in Calabria senza mai essere intercettato da navi, aerei, radar e quant’altro????",CRONACA NERA,negativo,no
Facebook,FanPage,Strage di Cutro,complimenti a Meloni & Piantedosi che ostacolano le ONG. Miserabili!,CRONACA NERA,negativo,offensivo
Facebook,FanPage,Strage di Cutro,La colpa è degli idioti che sostengono l'immigrazione clandestina per poi abbandonarli,CRONACA NERA,negativo,offensivo
Facebook,FanPage,Strage di Cutro,"Non bisogna lasciarli partire,così si evitano ste stragi",CRONACA NERA,negativo,no
Facebook,FanPage,Strage di Cutro,Tranquilli adesso li salva tutti quella che ha vinto nel pd,CRONACA NERA,negativo,no
Facebook,FanPage,Strage di Cutro,Con il cattivo tempo non si va in vacanza,CRONACA NERA,negativo,no
Facebook,FanPage,Strage di Cutro,"IPOCRISIA
CRIMINI  CONTRO‍‍‍ L'UMANITÀ
EUROPA
DOVE SEI ",CRONACA NERA,negativo,offensivo
Facebook,FanPage,Strage di Cutro,Ed il ministro dell'interno da arrestare per omissione di soccorso ,CRONACA NERA,negativo,no
Facebook,FanPage,Strage di Cutro,RINGRAZIARE IL PD E CONTE,CRONACA NERA,positivo,no
Instagram,La Repubblica,Strage di Cutro,"Che tristezza, ci sono luoghi del mondo da cui le persone possono solo scappare e noi rendiamo loro la fuga impossibile, scientemente",CRONACA NERA,negativo,no
Instagram,La Repubblica,Strage di Cutro,Portate via tutte le donne dal Pakistan direi ai governi. Se gli uomini là sono così bravi possono arrangiarsi da soli,CRONACA NERA,negativo,no
Instagram,La Repubblica,Strage di Cutro, rip,CRONACA NERA,negativo,no
Instagram,La Repubblica,Strage di Cutro,Credo ci fosse anche il campione nigeriano di Curling,CRONACA NERA,positivo,no
Instagram,La Repubblica,Strage di Cutro,Rabbia infinita per quello che è successo,CRONACA NERA,negativo,no
Instagram,La Repubblica,Strage di Cutro,E noi li ammazziamo a 100 metri dalla riva ,CRONACA NERA,negativo,no
Instagram,La Repubblica,Strage di Cutro,R.i.p,CRONACA NERA,negativo,no
Instagram,La Repubblica,Strage di Cutro,Che bella ...!! Che tragedia!,CRONACA NERA,negativo,no
Instagram,La Repubblica,Strage di Cutro,"Per i populisti del mangino brioches, il populismo dei parvenus, sarebbe stato sufficiente che prendesse un aereo. Magari in prima classe, così viaggiava pure meglio.",CRONACA NERA,negativo,offensivo
Instagram,La Repubblica,Strage di Cutro,Sono persone che danno il voto alla sinistra pagandoli,CRONACA NERA,negativo,offensivo
Instagram,La Repubblica,Strage di Cutro,"Ma qualcuno sa la storia di questa ragazza e di questo figlio desiderato? Della malattia? Ma quanta cattiveria scrivete, quanta pressapochezza...",CRONACA NERA,negativo,no
Instagram,La Repubblica,Strage di Cutro,Che Dio protegga sua figlia,CRONACA NERA,negativo,no
Instagram,La Repubblica,Strage di Cutro,Perdonaci Shahida Raza. E che tutti ci perdonino,CRONACA NERA,negativo,no
Instagram,La Repubblica,Strage di Cutro,Amen,CRONACA NERA,positivo,no
Instagram,La Repubblica,Strage di Cutro,Questi post che lasciano aperti tutti i possibili commenti offrono uno spaccato reale della nostra soc. L ignoranza di chi pur si informa…seppur tifando di parte! Figuriamoci quelli che neppur si offrono al contraddittorio.,CRONACA NERA,negativo,no
Instagram,La Repubblica,Strage di Cutro,Mi spiegate per quale motivo i pachistani prendono i barconi????,CRONACA NERA,negativo,no
Instagram,La Repubblica,Strage di Cutro,"Vedo in molti attaccare il nostro governo senza dire nulla sui criminali che li hanno messi in mare. E comunque se questi intelligenti guardassero una cartina geografica vedrebbero che tra la Turchia e l'Italia vi sono altri paesi, Cipro Grecia e Malta. Come mai nessuno di loro è intervenuto? Come mai se volevano entrare in Europa non si sono diretti in Grecia, paese decisamente più facile da raggiungere? Dai che lo capite da soli che dietro c'è un business e chi lo controlla vuole che tutti arrivino in Italia fregandosene della vita di queste povere persone.",CRONACA NERA,negativo,no
Instagram,La Repubblica,Strage di Cutro,mio sorella  ,CRONACA NERA,positivo,no
Instagram,La Repubblica,Strage di Cutro,#lastampa #LaRepubblica #domani #corrieredellasera #africanjournalist #africanjournalism #vergogna #vergognosi #shameless #africans #african #africa #africanfashion #africanprint #asia #asianfood #asianboy #asianbride #asianmodel #cgil #sinistraitaliana #sinistraitalianaverdi #SinistraItaliana #MovimentoCinqueStelle #Movimento5Stelle #movimento5stelle #movimentocinquestelleacasa #La7 #la7 #LA7  #InOndaEstate #inonda #CLANDESTINI #noclandestini #stopbusinessimmigrazione #stopsostituzioneetnica #stopbusinessaccoglienza #stopsbarchi  #partitoantidemocratico #partitodemocratico #partitodisastri #partitoantidemocratico #Pd  #PD #pdacasa #partitodemocraticoacasa #partitocontrogliitaliani #EllySchlein #ellischleinsegretariapd #ELLYSCHLEIN #ellysclein #Boldrini #LauraBoldrini #lauraboldrini #acasa  #immigrati #immigrazionisti #immigrazione #immigrazionefuoricontrollo #immigrants #immigration #stopclandestini #stopinvasione #Stopinvasione #stopinvasion #bastabuonismo #bastapd #bastaimmigrati #stopsostituzioneetnica #nopianokalergi,CRONACA NERA,negativo,offensivo
